ds,y,yhat1,ar1,lagged_regressor_volume1,lagged_regressor_rsi1,lagged_regressor_volatility_20d1,lagged_regressor_vnindex_close1,lagged_regressor_vn30_close1,lagged_regressor_usd_vnd1,lagged_regressor_interest_rate1,trend,season_weekly
2020-12-11,25.84,25.098618,16.592173,7.2222633,-34.335777,2.4028425,90.830055,-71.26425,1.726607,5.495265,16.943363,-10.513921
2020-12-14,26.24,25.548086,16.229544,6.8596044,-32.611645,2.2821863,86.26912,-67.68578,1.6399071,5.2193255,16.94616,-9.600326
2020-12-15,26.01,26.296455,1.6837726,10.713013,-50.931355,3.5642128,134.7311,-105.70852,2.561131,8.1513,16.947092,4.584708
2020-12-16,26.74,25.788553,-6.4373355,9.239964,-43.928246,3.0741303,116.20546,-91.17351,2.208973,7.0304894,16.948025,12.620605
2020-12-17,26.18,26.227116,2.636005,12.000019,-57.049988,3.9923992,150.91702,-118.407814,2.868812,9.130557,16.948956,3.1911483
2020-12-18,26.52,27.02052,17.41884,11.065064,-52.60506,3.68134,139.15865,-109.18232,2.645295,8.419169,16.94989,-10.530338
2020-12-21,26.77,25.759771,16.971685,5.0199223,-23.865505,1.6701251,63.13254,-49.533085,1.2000993,3.819551,16.952686,-9.608247
2020-12-22,26.43,26.910696,2.8506365,8.735948,-41.53207,2.9064443,109.866745,-86.200226,2.0884793,6.646994,16.953619,4.5941267
2020-12-23,26.29,26.009384,-4.3517413,2.8031983,-13.326848,0.93262243,35.254135,-27.660002,0.6701531,2.1328933,16.954552,12.600423
2020-12-24,25.67,26.92505,5.8459506,3.2236104,-15.325553,1.0724933,40.54141,-31.808336,0.7706598,2.452776,16.955482,3.1965601
2020-12-25,26.29,25.897848,19.52219,-0.18374944,0.87357384,-0.06113333,-2.3109062,1.8131111,-0.04392848,-0.139811,16.956417,-10.527915
2020-12-28,26.77,25.986187,19.21318,-1.9821347,9.423383,-0.65945506,-24.928116,19.558321,-0.47386363,-1.5081638,16.959213,-9.616178
2020-12-29,27.28,27.362574,5.7268972,0.2503129,-1.1900271,0.08327896,3.1480348,-2.469913,0.05984163,0.19045773,16.960144,4.603544
2020-12-30,27.11,26.13234,-2.763638,-2.3852184,11.339705,-0.79356074,-29.997458,23.53567,-0.5702277,-1.8148615,16.961077,12.62085
2020-12-31,27.48,27.106865,6.1371527,2.8427885,-13.515065,0.94579405,35.75204,-28.050652,0.67961776,2.1630168,16.96201,3.1901639
2021-01-01,27.58,27.322487,19.734474,3.9507189,-18.782343,1.3144017,49.685814,-38.982933,0.9444877,3.006017,16.962942,-10.51109
2021-01-04,27.68,27.880472,18.881023,5.7646675,-27.40614,1.9179013,72.49875,-56.88171,1.3781434,4.386212,16.96574,-9.624114
2021-01-05,27.48,27.620617,4.770811,4.4810534,-21.303638,1.490844,56.355515,-44.215908,1.0712734,3.4095378,16.966671,4.5944576
2021-01-06,28.0,27.0722,-4.0059104,5.208747,-24.763205,1.7329469,65.50727,-51.396275,1.245241,3.9632235,16.967606,12.612556
2021-01-07,28.06,28.094826,6.08421,6.461876,-30.72078,2.1498623,81.26712,-63.761276,1.5448232,4.9167027,16.968536,3.1837509
2021-01-08,27.83,28.7109,20.58076,5.8202963,-27.670609,1.9364091,73.198364,-57.43062,1.3914424,4.4285383,16.96947,-10.513149
2021-01-11,27.68,29.007496,20.174646,5.1328263,-24.402267,1.7076882,64.55247,-50.647144,1.227091,3.9054573,16.972267,-9.615534
2021-01-12,27.97,28.213886,5.254237,4.8075595,-22.855896,1.5994722,60.461784,-47.43764,1.1493303,3.6579688,16.9732,4.6038756
2021-01-13,27.8,28.877518,-2.0215728,4.533863,-21.5547,1.5084136,57.019665,-44.73699,1.0838984,3.4497187,16.974133,12.621097
2021-01-14,28.03,28.712215,7.8808236,2.3198483,-11.028926,0.77181214,29.175337,-22.890642,0.5545999,1.7651228,16.975063,3.1891794
2021-01-15,28.03,28.621363,21.499006,2.3347945,-11.099982,0.7767848,29.363304,-23.038122,0.558173,1.776495,16.975994,-10.525086
2021-01-18,27.91,27.697647,20.119343,0.7753626,-3.6861966,0.25796267,9.751269,-7.650737,0.18536384,0.58995676,16.978794,-9.62347
2021-01-19,25.96,28.721172,6.6522593,1.7191459,-8.173091,0.5719588,21.620663,-16.96333,0.41099152,1.3080611,16.979725,4.5947895
2021-01-20,26.11,27.932827,-1.504441,-0.50176007,2.3854468,-0.16693528,-6.310334,4.951018,-0.11995442,-0.38177848,16.98066,12.600906
2021-01-21,26.68,25.423977,7.522664,-7.8691797,37.411324,-2.6180713,-98.965935,77.64756,-1.8812634,-5.9874897,16.98159,3.1827667
2021-01-22,25.96,26.202387,21.914917,-7.5383654,35.83858,-2.5080097,-94.80548,74.38332,-1.8021766,-5.7357807,16.982521,-10.527146
2021-01-25,25.59,24.205956,22.466188,-19.597118,93.1678,-6.51995,-246.46117,193.37068,-4.6850305,-14.911027,16.990461,-9.614889
2021-01-26,24.41,25.217846,6.561088,-10.1651125,48.326553,-3.381927,-127.8405,100.30223,-2.4301462,-7.7344165,16.994373,4.585703
2021-01-27,23.7,24.62882,-2.0892236,-10.089515,47.967148,-3.3567758,-126.88976,99.55629,-2.4120731,-7.6768956,16.99828,12.621341
2021-01-28,22.06,25.674698,8.617944,-10.896427,51.803333,-3.6252346,-137.0378,107.518326,-2.6049793,-8.290857,17.00219,3.1881945
2021-01-29,22.89,25.205105,22.14857,-11.943519,56.781376,-3.9736013,-150.20644,117.850296,-2.8553047,-9.087567,17.0061,-10.514805
2021-02-01,22.43,23.13631,19.544718,-13.282824,63.14864,-4.419188,-167.05008,131.06563,-3.1754887,-10.106616,17.017828,-9.6063175
2021-02-02,22.58,23.936743,5.969662,-12.691206,60.335995,-4.222357,-159.60965,125.22794,-3.0340524,-9.6564665,17.021736,4.595121
2021-02-03,23.73,22.94545,-1.3914651,-18.435617,87.645836,-6.133519,-231.85367,181.90979,-4.407353,-14.027266,17.025646,12.613046
2021-02-04,23.81,23.693228,5.692594,-7.728307,36.74159,-2.5712028,-97.19426,76.25753,-1.8475854,-5.8803024,17.029556,3.19361
2021-02-05,23.98,25.169365,19.179638,-1.8321873,8.710507,-0.6095676,-23.042315,18.078745,-0.43801606,-1.3940719,17.033464,-10.516831
2021-02-08,23.01,24.851202,17.110924,1.0756235,-5.1136837,0.35785928,13.52747,-10.613502,0.2571464,0.8184188,17.045193,-9.614244
2021-02-09,23.41,24.583084,0.7504523,7.576894,-36.021748,2.520828,95.29003,-74.76349,1.8113875,5.765096,17.049103,4.6045394
2021-02-10,23.535,23.210522,-7.9236593,5.1338644,-24.4072,1.7080336,64.56552,-50.657383,1.227339,3.906247,17.053013,12.604758
